votu,Austria,Bangladesh,Canada,China,Denmark,El Salvador,Estonia,Finland,France,Germany,Italy,Kazakhstan,Mongolia,NULL,Netherlands,Peru,Russian Federation,Spain,Sweden,"Tanzania, United Republic of",United Kingdom,United States
vOTU-000001,30,0,13,189,182,0,7,5,17,37,0,9,2,323,3,1,10,77,13,0,48,54
vOTU-000002,23,0,10,112,194,0,22,5,13,32,5,12,5,217,8,0,9,78,9,0,25,46
vOTU-000003,25,0,3,75,149,0,3,15,10,22,2,9,2,164,6,0,1,41,11,0,20,23
vOTU-000004,9,0,8,73,62,0,6,2,8,14,2,7,4,121,3,0,6,37,11,0,14,9
vOTU-000005,21,0,4,38,112,0,0,1,10,14,1,4,2,132,1,0,2,38,7,0,40,14
vOTU-000006,11,0,5,68,31,0,1,1,2,6,1,4,0,78,0,0,2,19,1,0,8,11
vOTU-000007,10,0,10,62,133,0,1,0,6,14,2,21,16,175,10,0,0,66,17,0,30,69
vOTU-000008,14,0,3,54,52,0,0,0,6,9,1,5,0,56,0,0,0,30,8,0,35,9
vOTU-000009,7,0,4,54,65,0,1,0,4,5,1,4,0,58,5,0,1,17,4,0,13,6
vOTU-000010,9,0,7,7,66,0,4,2,5,5,0,3,0,53,2,0,6,27,4,0,8,7
vOTU-000012,4,0,2,12,49,0,0,0,5,1,0,2,2,76,3,0,0,44,1,0,10,9
vOTU-000013,2,0,3,45,26,0,0,0,3,3,0,0,0,56,0,0,2,4,2,0,9,4
vOTU-000014,3,0,2,144,32,0,1,0,5,12,2,22,8,116,4,0,3,21,4,1,17,36
vOTU-000015,2,0,4,55,20,0,0,0,1,3,0,2,0,52,0,0,0,15,4,0,5,5
vOTU-000016,4,0,5,30,23,0,2,1,1,5,0,1,0,34,1,0,2,10,5,0,8,3
vOTU-000017,8,0,6,49,33,0,0,0,3,5,3,3,2,63,1,0,3,28,5,0,23,9
vOTU-000018,10,0,0,27,29,0,0,0,1,4,0,0,0,63,0,0,1,4,5,0,21,2
vOTU-000019,2,0,2,61,34,1,0,1,2,5,0,3,1,43,1,0,0,9,6,0,7,7
vOTU-000020,5,2,1,25,19,0,2,0,1,3,0,1,0,33,0,0,0,19,2,0,10,3
vOTU-000021,0,0,2,22,61,0,0,1,3,5,2,1,2,43,0,0,1,21,4,0,6,11
vOTU-000022,7,0,1,39,47,0,2,0,4,1,0,1,0,29,0,1,0,16,0,0,5,5
vOTU-000023,4,0,6,17,5,0,0,1,0,6,0,0,0,36,0,0,0,14,0,0,7,5
vOTU-000024,9,0,1,17,28,0,0,7,0,2,0,1,0,35,3,0,3,8,9,0,7,9
vOTU-000025,2,0,0,12,14,0,0,1,2,6,1,1,0,22,0,0,2,10,2,0,7,0
vOTU-000026,11,0,10,122,198,0,14,14,11,23,3,11,0,213,1,0,2,70,17,0,48,34
vOTU-000027,2,0,2,33,28,0,0,0,1,6,1,13,6,65,3,0,0,24,6,0,14,27
vOTU-000028,0,0,1,11,32,0,1,0,1,5,0,3,0,25,0,0,1,5,2,0,1,8
vOTU-000029,2,0,1,8,50,0,0,0,2,3,0,0,0,48,0,0,0,11,5,0,4,3
vOTU-000030,10,0,2,16,26,0,0,1,3,4,0,1,0,36,4,0,0,21,3,0,2,4
vOTU-000032,2,0,1,18,10,0,0,0,0,0,0,0,0,19,0,0,0,4,1,0,5,6
vOTU-000033,4,0,2,3,31,0,2,0,10,0,1,0,0,25,0,0,3,7,1,0,9,11
