s1_votu	s2_votu	mean	std
vOTU-000001	vOTU-000002	0.00014233997720506	0.00022964605538028878
vOTU-000001	vOTU-000003	0.0008295756271707361	0.000664990340202207
vOTU-000001	vOTU-000004	0.0007705578414666795	0.0007451796743744324
vOTU-000001	vOTU-000005	1.6842658881515088e-05	0.00011284691470581188
vOTU-000001	vOTU-000006	0.0003416058559268855	0.00046899975035530193
vOTU-000001	vOTU-000007	0.0009481987134865653	0.0009349714688770548
vOTU-000001	vOTU-000008	0.0008252389296441932	0.00042319826415050286
vOTU-000001	vOTU-000009	0.0006065300545548147	0.0004452255602792624
vOTU-000001	vOTU-000010	0.0006295478886807932	0.00027290245961755864
vOTU-000001	vOTU-000012	0.0005227399474942699	0.000518205444420126
vOTU-000001	vOTU-000013	0.00030081739346915064	
vOTU-000001	vOTU-000014	0.0008137202910738603	0.0004953059240217118
vOTU-000001	vOTU-000016	0.001057624134932575	0.0011842525601703773
vOTU-000001	vOTU-000017	0.0006575516297309173	0.0004411561505857019
vOTU-000001	vOTU-000019	0.0	
vOTU-000001	vOTU-000020	1.622395109452182e-05	6.928975815733542e-05
vOTU-000001	vOTU-000021	0.0008836421147365446	0.001252465530681434
vOTU-000001	vOTU-000022	0.0007451498670651344	0.0004340526135999631
vOTU-000001	vOTU-000023	0.0009889066765773125	0.0014681132252950097
vOTU-000001	vOTU-000024	0.0006084556749922714	0.0008186134561105721
vOTU-000001	vOTU-000025	0.00015018180119020442	0.00020888870014225018
vOTU-000001	vOTU-000026	0.0009903427538568285	0.000999988559674899
vOTU-000001	vOTU-000027	0.0011019614601887348	0.0010168341502630998
vOTU-000001	vOTU-000028	0.0014815353821764961	0.0017794092137334093
vOTU-000001	vOTU-000029	0.0008448056404413174	0.0005110867416027965
vOTU-000001	vOTU-000032	0.00017361757146077523	0.0002033698171106212
vOTU-000001	vOTU-000033	0.0012352326801251465	0.0013958764017130577
vOTU-000001	vOTU-000034	2.7569895283675225e-05	0.0002744463310959219
vOTU-000001	vOTU-000035	0.0005645017352914205	0.00041760357375243457
vOTU-000001	vOTU-000037	0.0005883321165087688	0.0005428907874257409
vOTU-000001	vOTU-000038	0.0005922446572500276	0.0001738163168170783
vOTU-000001	vOTU-000042	0.0011641391900250049	0.000890698065530031
vOTU-000001	vOTU-000043	0.00018809466173410139	0.00024777448675745176
vOTU-000001	vOTU-000044	0.00071951593775399	0.000485183236638809
vOTU-000001	vOTU-000045	0.0005358359692975333	0.00042597534581116414
vOTU-000001	vOTU-000048	0.0008273866437496152	0.0004991371054495913
vOTU-000001	vOTU-000049	0.000863085439495631	0.0007815532971825346
vOTU-000001	vOTU-000050	0.0007470147102497748	0.0003796346534473333
vOTU-000001	vOTU-000051	3.523516122857546e-05	0.0001607372986441109
vOTU-000001	vOTU-000052	0.00046193747636582617	0.00014166799266085878
vOTU-000001	vOTU-000053	0.001062075929238087	0.0009596296223222531
vOTU-000001	vOTU-000055	0.0007457153405149677	0.0006380104235582614
vOTU-000001	vOTU-000056	0.0004069686770543509	0.0003522334856436315
vOTU-000001	vOTU-000057	0.0012812037528331735	0.0006829636793814659
vOTU-000001	vOTU-000058	0.0	
